지 역,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월
서울-강북지역,421774.5,421461.5,420328.25,419423.75,418549.75,417446,416498.25,415048,413546.25,411798.75,410205,405592,404513.75,403621,402835.25,401611.25,401569.75,400683,399545.75,397880.5,397195,397564.75,397607,397690,398205,398671.75,399017.75,399074,398941,398828,398663.25,398622,399122,399771.5,397449.5,397606.25,393899.5,394393,395265,396332,397191.5,398486.5,409360.5,410429.75,411757.75,413270.5,414508.25,415183.5,415395.25,415535.5,415658,415896,416301.5,416495,417134.25,418429.25,417221.25,418341,419443.75,420010.5,420328,420634,421141.5,422500,423399.25,425433,427217,428859.75,429482.25,430248.5,431533.75,494258.75,497312,502711.75,506696.75,508804,510815.75,513462.75,516150,520780.75,526730.5,530412.75,532310,533486.75,595971.25,595313.25,594717.25,594203,594035.25,594266,594883.25,596017.75,597272,599961.25
서울-강남지역,588654,586395,583609.6667,577620.6667,575036.3333,570331,565684.6667,560072.6667,555814.3333,552528.3333,550564.3333,540637.3333,536742.3333,535070.3333,537900.3333,540824,542396.6667,540522.6667,537251,535048.6667,536044.3333,538069.6667,538380.3333,537940.6667,530207,531819,533502,533391.3333,532803.3333,532369.6667,532455,533177.6667,535400,537360.3333,537660,537346,528981,530658.6667,533539,537196,540717,544206,556687.6667,559034,561844.3333,564288.3333,565677.6667,567484.3333,567339.6667,566137.3333,565969.3333,566614.3333,567978.6667,569013,570853.3333,573238.6667,567357.3333,571253.3333,573483,573257.3333,572813.6667,573410.6667,577369.3333,578711.3333,581172,587634,589831,593428.3333,593386.3333,595509.6667,598788,673954.3333,688357.6667,700724,705188.6667,706637,706706.3333,706427.3333,706869.6667,712393.3333,725612.6667,729601,729494.3333,728435.3333,782932.6667,779097.6667,775673,773562,772553.3333,772459.3333,774053.3333,775772.6667,778081.3333,783676
경기,264725.5,264532.25,263975.125,263234.875,262455.5,261350.25,259958.375,258410,256818.125,255310.375,253936,251023,249531,248538.875,247814.5,247608.625,247894.875,247784.125,246623.375,246030.625,245882.75,246549.375,246732.5,246963,249855.5,250465.125,251240.875,251112.125,250873,250781.375,250696.875,250885.75,251702.875,252405.625,252701.25,253010,247339.375,247904.5,248757,250095,251154.125,252227.125,252939.875,253676.375,254578.625,255612.5,256430.75,256778.875,256836,256844.875,256815.125,256848.25,256977.5,257139,257287,257535.625,259125.25,259428.875,259813.75,259924,259912.25,259905,260223.625,260448.75,260777.75,261297.5,261966.5,263044,263687.25,264246.125,264790.25,280886.875,281599.25,282898.75,283942.5,284761,285254.625,285620.75,285871.75,286333.875,288439.375,290066.5,291214.625,291513.375,305835.5,305453,304980.75,303851.625,303158.75,302827.5,302897.75,303317,304147,305171
인천,193693,193374,192997,192741,192066,191348,190421,189454,188543,187609,186956,184668,183452,182482,181728,182890,183031,182985,182782,182540,182572,183223,183799,184043,187939,188277,189003,189280,189412,189412,189447,189574,189967,190431,190784,190937,191736,192073,192875,193893,194673,195542,192843,193238,193556,194006,194574,194929,194972,194930,195105,195150,195225,195411,195379,195667,197354,197616,197888,198010,197956,198044,198142,198258,198388,198673,198922,199612,200163,200631,201017,214519,214537,214765,214916,214944,214918,214892,214744,214305,214285,214678,215330,216005,225902,225764,225866,225881,225905,226048,226047,225870,226445,226920
부산,195713.25,195181.5,194825.75,194277.5,193744.75,192796.75,192072.75,191191.75,190782.75,190582,190348.75,188946.25,188431.25,188123.25,187919.5,187975.75,188058.25,187970.75,187745.5,187559.5,187459,187749.25,187931.75,188100.75,189497.75,189453.5,189582,189700.5,189810.75,189953.5,190175.25,190388.25,190662.75,191006.75,191324.75,191671.25,191411.5,191765,192316,193163.5,193765.75,194593.5,198747.75,199241.75,199910,200826.25,201785.75,202234.5,202342.25,202478.5,202668.75,202935.25,203166.25,203461,204002,204971.75,206762.75,208148,209677.75,210602.25,211093.75,211547.75,211881,212507.25,213414.5,214224.75,214832.5,215342.75,215592.75,215682.75,215744,250271.75,250107.5,249885.25,249646.75,249295.75,249002.25,248537.5,248099.75,247449,247179.25,246997.75,246602.25,246077.25,248422.5,248084.75,247650.75,247058.25,246561.25,246015.25,245591.75,245271.5,245023.25,244794.25
대구,163724,164236,164924,165526,165797,165887,165917,166278,166441,166701,166945,167472,168210,168510,168798,170028,171216,172586,174474,175512,176259,177412,179054,181090,183910,185185,186158,187150,188131,188500,188899,189519,190541,191548,192826,194323,195153,196176,197438,199521,201247,203169,226037,227780,230033,231681,232849,232861,232525,232102,231600,231135,230874,230053,229849,229375,231913,231812,231735,231638,231501,231403,231749,231697,231573,231655,231911,233580,234720,235578,236521,259320,260398,261257,262315,263822,265126,265720,266461,267192,268490,270674,273058,274983,285211,285366,285606,285682,285841,286040,286168,286138,286317,286853
광주,132796,132770,133364,133666,134272,134835,135088,135023,134990,135005,135123,135518,135522,135623,135733,135971,136110,136170,136231,136151,136120,136214,136348,136356,137498,137770,138322,138493,138542,138604,138754,138892,139084,139355,139737,139844,139115,139533,140280,141815,142697,143764,168254,168819,168665,169318,170151,170599,170597,170691,170729,170891,170900,170838,170642,170556,170641,170721,170819,170962,171084,171136,171475,171570,171763,171833,172134,172414,172691,173046,173245,204601,205065,205489,206057,206661,207189,207690,208638,209648,211906,213727,214932,215847,235378,235692,235909,235952,235820,235659,235456,235417,235488,235564
대전,197017,196065,195746,195304,194895,193673,192688,191282,190992,191101,191361,191125,191139,190959,191027,189248,189389,189384,188904,188446,188274,188609,188939,189079,192625,192476,192441,192298,192069,191877,191797,191835,192086,192353,192433,192226,192656,192678,192892,192977,193048,193071,208490,208508,208411,208586,208802,208718,208582,208550,208640,208628,208677,208511,208620,208813,212073,212193,212486,212777,212955,213166,213325,213492,213707,213859,214005,214674,215116,215609,216290,221275,221684,222247,222613,222894,223030,223204,223397,223996,224712,226843,229216,231027,244046,244423,244547,244806,245661,246777,247794,249979,252724,256388
울산,206601,207684,208612,209701,210619,211212,210471,210109,209753,209574,210036,208756,208529,208190,207948,208199,208316,208582,208837,208556,208475,208753,209344,209375,211167,206893,207180,207604,208066,208729,209304,209890,210518,211069,211860,212359,211627,212054,212479,213213,213828,214604,233753,234216,234874,235658,236389,236793,237199,237623,237822,238074,238274,238570,237925,237800,239525,239807,239790,239690,239548,239489,239445,239269,239207,238971,238868,238771,238927,238871,238538,254520,254052,253674,253363,252652,251478,250791,249480,247904,246927,245568,243873,242211,245484,244677,243955,243087,242489,241996,241671,241363,240872,241148
세종,150162,150162,150162,150162,150162,150162,150162,150162,150162,150162,150162,150162,150849,151784,152807,153535,154501,155153,155192,154906,154987,155377,155637,155890,160953,160944,160911,160798,160404,160176,159767,159414,159193,159565,159535,159657,164296,164337,164310,164336,164382,164547,189378,189444,189572,189762,189814,189772,189904,190171,190310,190407,190578,191042,191548,191969,212030,212348,213014,213401,213576,213872,214618,215251,217254,222508,224572,225877,226080,226218,226362,283698,284427,285022,285954,286940,287777,288489,289606,290096,290173,290978,291778,292269,328954,328872,327892,325832,325169,323579,322623,322186,322346,322495
강원,115390,115695,115928,116122,116129,116145,116114,115954,115914,115869,115788,115996,115957,115829,115567,115374,115410,115244,115139,115013,115097,115288,115533,115714,116695,116640,116611,116576,116581,116505,116485,116477,116547,116678,116800,116980,116798,116903,117009,117252,117477,117664,125646,125787,126041,126331,126704,126890,127006,127081,127201,127357,127476,127583,127812,127979,127405,127683,127953,128149,128303,128419,128654,128970,129319,129560,129785,130120,130564,130927,131258,146953,146898,146948,147044,146886,146711,146358,146017,145714,145562,145307,145183,144819,152946,152819,152457,152272,151852,151578,151324,150899,150514,150362
충청도,128436,128575.5,128962.5,129378,129712,129892.5,130118,130208,130289,130448,130636.5,131785,131854.5,131908.5,131999.5,132273.5,132479,132668,132742,132799.5,132923,133167,133998,134411.5,135765.5,135909.5,136219,136461,136655.5,136886,136650.5,136737,136938,137340.5,137705,137981.5,137945.5,138062.5,138245.5,138504,138647,138720.5,135129.5,135757.5,135804.5,135791,135758.5,135620,135486.5,135325,135125.5,134924,134740,134494.5,133525,133278,133799,133645.5,133514.5,133429.5,133288,133775.5,133671.5,133554.5,133484.5,133350.5,133387,133306,133268,133306,133288.5,142297,142139,141939,141830,141658.5,141433,141272.5,141050.5,140783,140635,140389,140313,140085,148999,148746.5,148427.5,148061.5,147578,147241,147002,146719,146554.5,146420.5
경상도,137842.5,137850,138146,138171,138173,137999,137792.5,137695.5,137818.5,137918,138044,137749.5,137750,137779,138015,138265.5,138748.5,139057.5,139441,139534.5,139761,140240.5,140558,140884,141664.5,141970.5,142333,142617,142873.5,143090.5,143326,143615,143920,144336.5,144691,145084,145926,146172,146522,146867.5,147117.5,147460,150761,151024,151436,151650,151822,151904.5,151854,151797,151728.5,151621.5,151439.5,151365.5,151146,150910.5,151209.5,151049,150842.5,150626.5,150483.5,150661.5,150818,150674.5,150527,150401.5,150162,149885.5,149754,149417.5,148922,156307,155915.5,155665,155412,154825.5,154328.5,153907.5,153527,152854.5,152311,151840,151517,151043,155861.5,155539.5,155207.5,154767.5,154378.5,154055.5,153751,153338.5,153024,152768.5
전라도,96539,96681.5,96975.5,97266.5,97212.5,97130.5,96910,96833.5,96575,96384,96004,95715,95425,95307.5,95173,95164.5,95096,94950.5,94637.5,94494,94378,94348,94319.5,94312.5,94932.5,94791,94763.5,94708,94660.5,94572,94442,94365,94380,94391,94399,94315.5,94970.5,94895.5,94931.5,94973.5,94985,95025,103332.5,103462.5,103605,103723,103893.5,104058,104149,104149.5,104167.5,104214.5,104277.5,104386.5,104578,104382.5,104941,105131.5,105229,105367,105444,105715.5,105826.5,106010,106385.5,106556,106758,107076.5,107295,107559,107786.5,124182,124314,124503,124592,124683.5,124626.5,124664.5,124737.5,124846,125091,125368,125687.5,126001,132042,132107.5,132101.5,132072.5,132076.5,132069.5,132120.5,132139,132091,132121